Feature, Importance
GLAT, 0.063374
VMACRO, 0.048827
M H, 0.039412
FE H, 0.033645
N FE, 0.033473
VSCATTER, 0.030167
RV FEH, 0.027783
DEC, 0.025858
AL FE, 0.025106
FRAC LOWSNR, 0.023728
NA FE, 0.023259
O FE, 0.022766
CA FE, 0.022734
MN FE, 0.021130
MEANFIB, 0.021125
ASPCAP CHI2, 0.020697
V FE, 0.020603
K, 0.019685
C FE, 0.019623
FRAC SIGSKY, 0.019442
GAIAEDR3 R MED PHOTOGEO, 0.018614
H, 0.018061
RV CCFWHM, 0.017715
CO FE, 0.017560
SIGFIB, 0.017358
SNREV, 0.016884
SI FE, 0.016617
RV AUTOFWHM, 0.015768
GLON, 0.014479
RV LOGG, 0.013618
GAIAEDR3 PMRA, 0.013563
CI FE, 0.013318
GAIAEDR3 R LO GEO, 0.012231
RV CHI2, 0.012108
NI FE, 0.011644
MAX H, 0.011132
MG FE, 0.010685
GAIAEDR3 R HI GEO, 0.010640
GAIAEDR3 R LO PHOTOGEO, 0.009849
TI FE, 0.009843
J, 0.009653
GAIAEDR3 PMDEC, 0.009627
GAIAEDR3 R HI PHOTOGEO, 0.009566
CE FE, 0.009226
GAIAEDR3 PHOT G MEAN MAG, 0.008478
CR FE, 0.008338
MIN H, 0.007882
GAIAEDR3 PHOT BP MEAN MAG, 0.007868
MIN JK, 0.007806
K FE, 0.007662
S FE, 0.007464
GAIAEDR3 DR2 RADIAL VELOCITY, 0.007266
RA, 0.007055
LOGG, 0.006129
GAIAEDR3 PARALLAX, 0.005646
TEFF, 0.005278
GAIAEDR3 R MED GEO, 0.004983
ALPHA M, 0.004750
TIII FE, 0.004284
VMICRO, 0.003638
RV TEFF, 0.003605
GAIAEDR3 PHOT RP MEAN MAG, 0.003507
FRAC BADPIX, 0.003299
VHELIO AVG, 0.002864
MAX JK, 0.000000
RV CARB, 0.000000
RV ALPHA, 0.000000
